student_id,demographic_group,interaction_type,response_quality,timestamp,adversarial_flag,noise_level,base_success_rate
STU_00000,Group A,MCQ,0.827187158024065,2026-01-15T00:00:00,0,0.02718715802406493,0.8
STU_00001,Group A,Problem-solving,0.7692285115200832,2026-01-15T00:17:16.800000,0,0.0307714884799168,0.8
STU_00002,Group C,Problem-solving,0.6765262807032524,2026-01-15T00:34:33.600000,0,0.023473719296747606,0.7
STU_00003,Group A,Open-ended,0.8813840065378947,2026-01-15T00:51:50.400000,0,0.0813840065378947,0.8
STU_00004,Group A,MCQ,0.6780447092471988,2026-01-15T01:09:07.200000,1,0.12195529075280116,0.8
STU_00005,Group C,Problem-solving,0.7301720612519065,2026-01-15T01:26:24,0,0.03017206125190657,0.7
STU_00006,Group B,Problem-solving,0.6071232301193327,2026-01-15T01:43:40.800000,0,0.007123230119332744,0.6
STU_00007,Group C,Problem-solving,0.69826739078862,2026-01-15T02:00:57.600000,0,0.0017326092113799652,0.7
STU_00008,Group A,MCQ,0.7699680655040598,2026-01-15T02:18:14.400000,0,0.03003193449594025,0.8
STU_00009,Group A,Problem-solving,0.7854153125103362,2026-01-15T02:35:31.200000,0,0.01458468748966384,0.8
STU_00010,Group C,Problem-solving,0.6885274773084021,2026-01-15T02:52:48,0,0.011472522691597827,0.7
STU_00011,Group A,Open-ended,0.8584023369884185,2026-01-15T03:10:04.800000,0,0.058402336988418485,0.8
STU_00012,Group B,MCQ,0.6369233289997704,2026-01-15T03:27:21.600000,0,0.03692332899977052,0.6
STU_00013,Group A,MCQ,0.8085684140594985,2026-01-15T03:44:38.400000,0,0.008568414059498526,0.8
STU_00014,Group C,MCQ,0.7386850208416841,2026-01-15T04:01:55.200000,0,0.0386850208416841,0.7
STU_00015,Group A,MCQ,0.7730929169168521,2026-01-15T04:19:12,0,0.026907083083147987,0.8
STU_00016,Group C,MCQ,0.697823159876325,2026-01-15T04:36:28.800000,0,0.0021768401236748956,0.7
STU_00017,Group A,Problem-solving,0.7862349544876804,2026-01-15T04:53:45.600000,0,0.013765045512319642,0.8
STU_00018,Group B,Problem-solving,0.6238021293713486,2026-01-15T05:11:02.400000,0,0.023802129371348592,0.6
STU_00019,Group B,Problem-solving,0.6651830634199292,2026-01-15T05:28:19.200000,0,0.0651830634199292,0.6
STU_00020,Group A,MCQ,0.7911133939364673,2026-01-15T05:45:36,0,0.008886606063532757,0.8
STU_00021,Group B,Open-ended,0.5384425036970549,2026-01-15T06:02:52.800000,0,0.06155749630294507,0.6
STU_00022,Group A,MCQ,0.7533118579543976,2026-01-15T06:20:09.600000,0,0.0466881420456025,0.8
STU_00023,Group A,Problem-solving,0.839210409382697,2026-01-15T06:37:26.400000,0,0.039210409382696924,0.8
STU_00024,Group A,MCQ,0.8075244539055297,2026-01-15T06:54:43.200000,0,0.0075244539055297184,0.8
STU_00025,Group B,Open-ended,0.5829868122980408,2026-01-15T07:12:00,0,0.017013187701959125,0.6
STU_00026,Group B,Problem-solving,0.560537083565104,2026-01-15T07:29:16.800000,0,0.03946291643489601,0.6
STU_00027,Group A,Open-ended,0.9115566925656841,2026-01-15T07:46:33.600000,0,0.11155669256568401,0.8
STU_00028,Group B,Open-ended,0.7373103176553111,2026-01-15T08:03:50.400000,0,0.13731031765531113,0.6
STU_00029,Group A,Open-ended,0.8493126664489528,2026-01-15T08:21:07.200000,0,0.049312666448952665,0.8
STU_00030,Group A,Problem-solving,0.7845355726777712,2026-01-15T08:38:24,0,0.015464427322228884,0.8
STU_00031,Group A,Open-ended,0.9009688254160964,2026-01-15T08:55:40.800000,1,0.10096882541609627,0.8
STU_00032,Group A,Problem-solving,0.8002556728321231,2026-01-15T09:12:57.600000,0,0.0002556728321230445,0.8
STU_00033,Group A,Problem-solving,0.7882706433312427,2026-01-15T09:30:14.400000,0,0.011729356668757346,0.8
STU_00034,Group A,Problem-solving,0.8107469415047378,2026-01-15T09:47:31.200000,0,0.010746941504737751,0.8
STU_00035,Group A,MCQ,0.6988842533402133,2026-01-15T10:04:48,0,0.10111574665978676,0.8
STU_00036,Group A,Problem-solving,0.7040614392350479,2026-01-15T10:22:04.800000,0,0.09593856076495208,0.8
STU_00037,Group A,MCQ,0.7986743062275392,2026-01-15T10:39:21.600000,0,0.001325693772460844,0.8
STU_00038,Group A,Problem-solving,0.8238877049716764,2026-01-15T10:56:38.400000,0,0.023887704971676357,0.8
STU_00039,Group A,Open-ended,0.7611457032891664,2026-01-15T11:13:55.200000,0,0.038854296710833576,0.8
STU_00040,Group A,Problem-solving,0.7612331947021529,2026-01-15T11:31:12,0,0.03876680529784721,0.8
STU_00041,Group A,Open-ended,0.9159711283833873,2026-01-15T11:48:28.800000,0,0.11597112838338733,0.8
STU_00042,Group B,MCQ,0.60140497316741,2026-01-15T12:05:45.600000,0,0.0014049731674100863,0.6
STU_00043,Group C,Problem-solving,0.6401456468330848,2026-01-15T12:23:02.400000,0,0.05985435316691515,0.7
STU_00044,Group B,Problem-solving,0.6324543366314553,2026-01-15T12:40:19.200000,0,0.03245433663145531,0.6
STU_00045,Group B,Problem-solving,0.5388563231662347,2026-01-15T12:57:36,0,0.06114367683376534,0.6
STU_00046,Group A,MCQ,0.7821627487115903,2026-01-15T13:14:52.800000,0,0.017837251288409708,0.8
STU_00047,Group C,MCQ,0.7278060899266983,2026-01-15T13:32:09.600000,0,0.027806089926698266,0.7
